GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SimpleBNB,org.loose.fis.sre,Main,46,0,2,0,17,0,5,0,4,0
SimpleBNB,org.loose.fis.sre.exceptions,PropertyDoesNotExistException,3,14,0,0,1,3,1,1,1,1
SimpleBNB,org.loose.fis.sre.exceptions,PropertyAlreadyExistsException,17,0,0,0,4,0,2,0,2,0
SimpleBNB,org.loose.fis.sre.exceptions,MarkIsIncorrectException,4,0,0,0,2,0,1,0,1,0
SimpleBNB,org.loose.fis.sre.exceptions,PropertyAlreadyUnavailableException,48,0,0,0,4,0,2,0,2,0
SimpleBNB,org.loose.fis.sre.exceptions,IncorrectCredentials,3,14,0,0,1,3,1,1,1,1
SimpleBNB,org.loose.fis.sre.exceptions,ClientDoesNotHavePastReservationsException,11,0,0,0,2,0,1,0,1,0
SimpleBNB,org.loose.fis.sre.exceptions,IncorrectScoreException,0,7,0,0,0,2,0,1,0,1
SimpleBNB,org.loose.fis.sre.exceptions,NoRequestSelectedException,4,0,0,0,2,0,1,0,1,0
SimpleBNB,org.loose.fis.sre.exceptions,UsernameAlreadyExistsException,3,14,0,0,1,3,1,1,1,1
SimpleBNB,org.loose.fis.sre.exceptions,ThisClientDidNotTryToRentYourPropertyException,14,0,0,0,3,0,1,0,1,0
SimpleBNB,org.loose.fis.sre.exceptions,NoPropertyInThisCity,0,11,0,0,0,2,0,1,0,1
SimpleBNB,org.loose.fis.sre.exceptions,IncorrectDateException,4,40,0,0,2,3,1,1,1,1
SimpleBNB,org.loose.fis.sre.exceptions,NoPropertyAvailable,0,7,0,0,0,2,0,1,0,1
SimpleBNB,org.loose.fis.sre.model,PropertyUnavailable,130,331,87,37,22,92,63,25,3,23
SimpleBNB,org.loose.fis.sre.model,BookingRequest,10,102,0,0,4,41,3,21,3,21
SimpleBNB,org.loose.fis.sre.model,Property,66,78,12,2,6,31,9,16,3,15
SimpleBNB,org.loose.fis.sre.model,User,156,70,42,2,42,30,28,13,7,12
SimpleBNB,org.loose.fis.sre.services,PropertyService,133,204,28,22,30,45,21,15,4,7
SimpleBNB,org.loose.fis.sre.services,UserService,89,173,14,20,21,40,9,18,2,8
SimpleBNB,org.loose.fis.sre.services,BookingRequestService,675,208,136,24,112,43,83,11,9,5
SimpleBNB,org.loose.fis.sre.services,PropertyUnavailableService,124,194,21,27,22,49,18,17,4,7
SimpleBNB,org.loose.fis.sre.services,FileSystemService,15,30,2,0,5,5,3,3,2,3
SimpleBNB,org.loose.fis.sre.controllers,DeletePropertyController,25,0,0,0,9,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,OpenOwnerController,126,7,0,0,36,3,3,2,3,2
SimpleBNB,org.loose.fis.sre.controllers,OpenPastClientsController,42,0,0,0,12,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,PastReservationsController,7,51,0,2,2,14,1,4,1,3
SimpleBNB,org.loose.fis.sre.controllers,RegistrationController,9,68,0,0,4,13,0,3,0,3
SimpleBNB,org.loose.fis.sre.controllers,ChangeDescriptionController,28,0,0,0,9,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,OpenClientController,144,7,0,0,41,3,3,2,3,2
SimpleBNB,org.loose.fis.sre.controllers,OpenAppController,63,0,0,0,19,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,AvailableAccommodationsController,61,102,4,2,9,30,3,8,0,8
SimpleBNB,org.loose.fis.sre.controllers,AddPropertyController,31,0,0,0,9,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,MakeUnavailableController,61,0,0,0,14,0,3,0,3,0
SimpleBNB,org.loose.fis.sre.controllers,UpcomingReservationsController,10,0,0,0,3,0,2,0,2,0
SimpleBNB,org.loose.fis.sre.controllers,OpenPropertiesController,190,0,0,0,56,0,6,0,6,0
SimpleBNB,org.loose.fis.sre.controllers,SearchAccommodationController,7,122,0,0,4,25,1,2,1,2
SimpleBNB,org.loose.fis.sre.controllers,OpenRequestsController,136,0,2,0,36,0,7,0,6,0
SimpleBNB,org.loose.fis.sre.controllers,LoginController,30,83,1,1,8,21,1,2,0,2
